gene_id	color
1553682_at	grey
1553683_s_at	brown
1553684_at	blue
1553685_s_at	yellow
1553686_at	grey
1553688_at	yellow
1553689_s_at	blue
1553690_at	blue
1553691_at	blue
1553693_s_at	red
1553694_a_at	yellow
1553695_a_at	grey
1553696_s_at	black
1553697_at	brown
1553698_a_at	blue
1553701_a_at	blue
1553702_at	yellow
1553703_at	black
1553704_x_at	black
1553705_a_at	blue
1553706_at	tan
1553708_at	blue
1553709_a_at	blue
1553710_at	blue
1553711_a_at	yellow
1553713_a_at	turquoise
1553715_s_at	grey
1553717_at	grey
1553718_at	turquoise
1553719_s_at	turquoise
1553720_a_at	turquoise
1553721_at	grey
1553722_s_at	blue
1553723_at	turquoise
1553725_s_at	yellow
1553726_s_at	grey
1553727_at	yellow
1553728_at	turquoise
1553729_s_at	turquoise
1553730_x_at	turquoise
1553732_s_at	turquoise
1553734_at	brown
1553736_at	grey
1553739_at	turquoise
1553740_a_at	black
1553741_at	turquoise
1553743_at	blue
1553746_a_at	grey
1553747_at	green
1553749_at	lightyellow
1553750_a_at	blue
1553752_at	turquoise
1553755_at	turquoise
1553756_at	turquoise
1553757_at	lightgreen
1553759_at	grey
1553761_at	turquoise
1553764_a_at	blue
1553765_a_at	brown
1553768_a_at	blue
1553769_at	grey
1553770_a_at	turquoise
1553772_at	grey
1553775_at	yellow
1553776_at	turquoise
1553778_at	black
1553780_at	turquoise
1553781_at	brown
1553785_at	brown
1553787_at	turquoise
1553789_a_at	turquoise
1553792_at	brown
1553793_a_at	grey
1553794_at	grey
1553796_at	turquoise
1553797_a_at	turquoise
1553798_a_at	turquoise
1553799_at	grey
1553801_a_at	blue
1553802_a_at	turquoise
1553803_at	turquoise
1553804_a_at	turquoise
1553805_at	turquoise
1553808_a_at	brown
1553809_a_at	steelblue
1553810_a_at	blue
1553811_at	turquoise
1553812_at	turquoise
1553813_s_at	turquoise
1553815_a_at	turquoise
1553817_at	grey
1553818_x_at	green
1553821_at	grey
1553822_at	grey
1553823_a_at	grey
1553826_a_at	turquoise
1553828_at	black
1553829_at	turquoise
1553830_s_at	turquoise
1553831_at	turquoise
1553832_at	turquoise
1553834_at	salmon
1553835_a_at	brown
1553837_at	turquoise
1553838_at	turquoise
1553839_at	turquoise
1553840_a_at	turquoise
1553842_at	grey
1553843_at	turquoise
1553844_a_at	grey
1553845_x_at	turquoise
1553846_at	turquoise
1553847_a_at	turquoise
1553849_at	grey
1553850_at	brown
1553851_at	grey
1553852_at	red
1553856_s_at	brown
1553857_at	blue
1553858_at	yellow
1553859_at	brown
1553860_at	turquoise
1553861_at	grey
1553863_at	turquoise
1553864_at	turquoise
1553865_a_at	turquoise
1553868_a_at	turquoise
1553869_at	brown
1553871_at	turquoise
1553872_at	turquoise
1553873_at	brown
1553874_a_at	turquoise
1553875_s_at	turquoise
1553876_at	grey
1553878_at	grey
1553879_a_at	grey
1553880_at	turquoise
1553881_at	grey
1553882_at	turquoise
1553883_at	brown
1553885_x_at	grey
1553886_at	midnightblue
1553887_at	turquoise
1553888_at	grey
1553889_at	grey
1553890_s_at	turquoise
1553891_at	turquoise
1553893_at	turquoise
1553894_at	red
1553895_at	turquoise
1553898_a_at	grey
1553900_s_at	turquoise
1553901_x_at	turquoise
1553905_at	greenyellow
1553906_s_at	brown
1553907_a_at	grey
1553909_x_at	red
1553910_at	brown
1553911_at	turquoise
1553912_at	yellow
1553914_at	turquoise
1553915_at	grey
1553917_at	turquoise
1553918_at	turquoise
1553919_at	red
1553920_at	grey
1553923_at	black
1553924_at	turquoise
1553927_at	turquoise
1553928_at	blue
1553929_at	turquoise
1553930_at	grey
1553931_at	turquoise
1553934_at	turquoise
1553935_at	green
1553936_a_at	turquoise
1553938_a_at	green
1553940_a_at	yellow
